#{"t_start": 1654138182.9472842, "env_id": null}
r,l,t
-3681.0,119,22.662877
-4057.0,119,41.038808
-4047.0,119,60.609226
-3898.0,119,81.804634
-3618.0,119,102.370543
-3066.0,119,121.88195
-3569.0,119,142.957847
-3229.0,119,160.972754
-3973.0,119,181.580148
-3587.0,119,202.603536
-3288.0,119,223.755919
-3284.0,119,242.631313
-3214.0,119,260.078213
-3448.0,119,280.539095
-3711.0,119,301.242971
-3598.0,119,321.503349
-3754.0,119,340.082237
-3448.0,119,359.534615
-3441.0,119,379.182994
-3826.0,119,399.033868
-3679.0,119,419.874236
-3585.0,119,439.38211
-3615.0,119,459.035984
-3560.0,119,477.931363
-3454.0,119,498.126728
-3504.0,119,517.374602
-3207.0,119,535.327981
-3105.0,119,553.537359
-3505.0,119,573.777223
-3926.0,119,593.261096
-3676.0,119,614.154453
-2929.0,119,633.847821
-3645.0,119,655.499674
-3694.0,119,674.66404
-3633.0,119,693.071416
-3764.0,119,712.483765
-4339.0,119,732.511969
-3233.0,119,750.508716
-3595.0,119,773.061413
-3774.0,119,795.239622
-4012.0,119,817.507346
-3504.0,119,839.37308
-3557.0,119,858.992846
-2744.0,119,876.150652
-3575.0,119,894.598947
-3909.0,119,917.743699
-3273.0,119,937.633489
-3458.0,119,955.582304
-3222.0,119,973.93362
-3578.0,119,993.35593
-3870.0,119,1015.188219
-3614.0,119,1035.39253
-3795.0,119,1058.612313
-3124.0,119,1080.730112
-3640.0,119,1099.509943
-3566.0,119,1117.96878
-3333.0,119,1135.45413
-3483.0,119,1154.136467
-3811.0,119,1172.161815
-3358.0,119,1191.368155
-3771.0,119,1212.804975
-3490.0,119,1231.595822
-3436.0,119,1250.22667
-4006.0,119,1269.404514
-3873.0,119,1288.606362
-3403.0,119,1310.022194
-3757.0,119,1331.161526
-3705.0,119,1352.956355
-3246.0,119,1372.003209
-3476.0,119,1391.296559
-3692.0,119,1411.395904
-3410.0,119,1430.781257
-3727.0,119,1450.26211
