#{"t_start": 1654137440.171103, "env_id": null}
r,l,t
-4166.0,119,56.517624
-4126.0,119,79.71888
-4126.0,119,100.932345
-4126.0,119,122.938223
-4126.0,119,146.097937
-4126.0,119,167.562785
-4126.0,119,189.355635
-4126.0,119,209.778994
-4126.0,119,229.441192
-4126.0,119,249.292834
-4126.0,119,275.59643
-4126.0,119,295.054856
-4126.0,119,314.405527
-4126.0,119,336.470239
-4126.0,119,356.320888
-4126.0,119,378.018789
-4126.0,119,400.355191
-4126.0,119,424.865994
-4126.0,119,444.828074
-4126.0,119,467.933724
-4126.0,119,489.66343
-4126.0,119,512.349836
-4126.0,119,534.480371
-4126.0,119,555.034288
-4126.0,119,578.985795
-4126.0,119,600.773283
-4126.0,119,621.82797
-4126.0,119,646.248436
-4126.0,119,671.958883
-4126.0,119,696.375824
-4126.0,119,722.822246
-4126.0,119,747.726621
-4126.0,119,772.56403
-4126.0,119,797.101432
-4126.0,119,825.568813
-4126.0,119,854.267679
-4126.0,119,881.674552
-4126.0,119,909.204912
-4126.0,119,937.966257
-4126.0,119,967.371093
-4126.0,119,994.806442
-4126.0,119,1021.756786
-4126.0,119,1049.48762
-4126.0,119,1076.584455
-4126.0,119,1103.325291
-4126.0,119,1130.337122
-4126.0,119,1158.381444
-4126.0,119,1185.87227
-4126.0,119,1212.616595
-4126.0,119,1239.439921
-4126.0,119,1267.117237
-4126.0,119,1295.007051
-4126.0,119,1322.239871
-4126.0,119,1350.524177
-4126.0,119,1379.053484
-4126.0,119,1408.085284
-4126.0,119,1433.479112
-4126.0,119,1460.088874
-4126.0,119,1485.643004
-4126.0,119,1514.369613
-4126.0,119,1544.040225
-4126.0,119,1573.71586
-4126.0,119,1600.270545
-4126.0,119,1626.50275
-4126.0,119,1656.024927
-4126.0,119,1685.338118
-4126.0,119,1711.968348
-4126.0,119,1739.646575
-4126.0,119,1767.749808
-4126.0,119,1798.354023
-4126.0,119,1828.803246
-4126.0,119,1855.078012
-4126.0,119,1880.949787
-4126.0,119,1907.083062
-4126.0,119,1933.458339
-4126.0,119,1961.597108
-4126.0,119,1987.347395
-4126.0,119,2013.099689
-4126.0,119,2038.997982
-4126.0,119,2069.049746
-4126.0,119,2097.974021
-4126.0,119,2126.533298
-4126.0,119,2153.573591
-4126.0,119,2180.617385
-4126.0,119,2207.36068
-4126.0,119,2234.851974
-4126.0,119,2263.809256
-4126.0,119,2290.470559
-4126.0,119,2317.131363
-4126.0,119,2344.219662
-4126.0,119,2372.139955
-4126.0,119,2398.943515
-4126.0,119,2425.75682
-4126.0,119,2452.423624
-4126.0,119,2481.334915
-4126.0,119,2508.682711
-4126.0,119,2536.300009
-4126.0,119,2563.073815
-4126.0,119,2589.774125
-4126.0,119,2616.959921
-4126.0,119,2645.088717
-4126.0,119,2671.911026
-4126.0,119,2698.958831
-4126.0,119,2727.560124
-4126.0,119,2755.67392
-4126.0,119,2783.770718
-4126.0,119,2810.612024
-4126.0,119,2837.63333
-4126.0,119,2864.918635
-4126.0,119,2891.833439
-4126.0,119,2920.315736
-4126.0,119,2947.500541
-4126.0,119,2974.677846
-4126.0,119,3001.789647
-4126.0,119,3029.635948
-4126.0,119,3057.11325
-4126.0,119,3084.161056
-4126.0,119,3111.035362
-4126.0,119,3138.102166
-4126.0,119,3165.317972
-4126.0,119,3192.292277
-4126.0,119,3218.898086
